ベンダ,"GRAPHTEC Corporation"
モデル,"GL220"
バージョン,"Ver1.06  "
測定間隔,30s
測定点数,2290      
開始時刻,2015-05-14,14:42:55
終了時刻,2015-05-15,09:47:56
トリガ時刻,2015-05-14,14:43:05
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1," CH 1",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH2," CH 2",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH3," CH 3",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH4," CH 4",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH5," CH 5",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH6," CH 6",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH7," CH 7",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH8," CH 8",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH9," CH 9",DC,2V,Off,+1.0000,-1.0000,[ V]
CH10," CH10",DC,2V,Off,+1.0000,-1.0000,[ V]
Logic/Pulse,Off
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degC","degC","degC","degC","degC","degC","degC","degC","V","V","A12345678910","AO1234"
         1,2015/05/14 14:43:05,  0,+24.3,+25.3,+25.6,+24.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.4806,LLLLLLLLLL,LLLL
         2,2015/05/14 14:43:35,  0,+24.3,+25.2,+25.7,+24.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,-0.0002,+0.4969,LLLLLLLLLL,LLLL
         3,2015/05/14 14:44:05,  0,+24.3,+25.3,+25.7,+24.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.4797,LLLLLLLLLL,LLLL
         4,2015/05/14 14:44:35,  0,+24.3,+25.3,+25.5,+24.4,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.4330,LLLLLLLLLL,LLLL
         5,2015/05/14 14:45:05,  0,+24.3,+25.4,+25.3,+24.5,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3693,LLLLLLLLLL,LLLL
         6,2015/05/14 14:45:35,  0,+24.3,+25.3,+25.1,+24.6,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3286,LLLLLLLLLL,LLLL
         7,2015/05/14 14:46:05,  0,+24.3,+25.3,+24.9,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2991,LLLLLLLLLL,LLLL
         8,2015/05/14 14:46:35,  0,+24.3,+25.2,+24.7,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2807,LLLLLLLLLL,LLLL
         9,2015/05/14 14:47:05,  0,+24.3,+25.2,+24.6,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2694,LLLLLLLLLL,LLLL
        10,2015/05/14 14:47:35,  0,+24.3,+25.2,+24.6,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2609,LLLLLLLLLL,LLLL
        11,2015/05/14 14:48:05,  0,+24.3,+25.2,+24.7,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2546,LLLLLLLLLL,LLLL
        12,2015/05/14 14:48:35,  0,+24.3,+25.1,+24.8,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2494,LLLLLLLLLL,LLLL
        13,2015/05/14 14:49:05,  0,+24.3,+25.1,+24.9,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2448,LLLLLLLLLL,LLLL
        14,2015/05/14 14:49:35,  0,+24.3,+25.1,+25.0,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2410,LLLLLLLLLL,LLLL
        15,2015/05/14 14:50:05,  0,+24.3,+25.0,+25.1,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.2369,LLLLLLLLLL,LLLL
        16,2015/05/14 14:50:35,  0,+24.3,+24.9,+25.2,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.2336,LLLLLLLLLL,LLLL
