ベンダ,"GRAPHTEC Corporation"
モデル,"GL220"
バージョン,"Ver1.06  "
測定間隔,30s
測定点数,2512      
開始時刻,2015-04-29,18:57:28
終了時刻,2015-04-30,15:53:28
トリガ時刻,2015-04-29,18:57:38
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1," CH 1",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH2," CH 2",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH3," CH 3",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH4," CH 4",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH5," CH 5",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH6," CH 6",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH7," CH 7",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH8," CH 8",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH9," CH 9",DC,2V,Off,+1.0000,-1.0000,[ V]
CH10," CH10",DC,2V,Off,+1.0000,-1.0000,[ V]
Logic/Pulse,Off
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degC","degC","degC","degC","degC","degC","degC","degC","V","V","A12345678910","AO1234"
         1,2015/04/29 18:57:38,  0,+25.1,+25.0,+25.1,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3638,LLLLLLLLLL,LLLL
         2,2015/04/29 18:58:08,  0,+25.0,+24.9,+25.1,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.4410,LLLLLLLLLL,LLLL
         3,2015/04/29 18:58:38,  0,+24.9,+24.8,+25.1,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.4923,LLLLLLLLLL,LLLL
         4,2015/04/29 18:59:08,  0,+24.9,+24.6,+25.2,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5216,LLLLLLLLLL,LLLL
         5,2015/04/29 18:59:38,  0,+24.9,+24.5,+25.2,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5332,LLLLLLLLLL,LLLL
         6,2015/04/29 19:00:08,  0,+24.9,+24.4,+25.3,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5341,LLLLLLLLLL,LLLL
         7,2015/04/29 19:00:38,  0,+24.9,+24.3,+25.4,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5317,LLLLLLLLLL,LLLL
         8,2015/04/29 19:01:08,  0,+25.0,+24.1,+25.4,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5286,LLLLLLLLLL,LLLL
         9,2015/04/29 19:01:38,  0,+25.0,+24.1,+25.5,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5241,LLLLLLLLLL,LLLL
        10,2015/04/29 19:02:08,  0,+25.0,+24.1,+25.6,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.5209,LLLLLLLLLL,LLLL
        11,2015/04/29 19:02:38,  0,+25.0,+24.0,+25.6,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,-0.0002,+0.5170,LLLLLLLLLL,LLLL
        12,2015/04/29 19:03:08,  0,+25.1,+24.1,+25.7,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5132,LLLLLLLLLL,LLLL
        13,2015/04/29 19:03:38,  0,+25.1,+24.1,+25.5,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5094,LLLLLLLLLL,LLLL
        14,2015/04/29 19:04:08,  0,+25.1,+24.1,+25.3,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5062,LLLLLLLLLL,LLLL
        15,2015/04/29 19:04:38,  0,+25.2,+24.1,+25.1,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5022,LLLLLLLLLL,LLLL
        16,2015/04/29 19:05:08,  0,+25.2,+24.1,+24.9,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.4993,LLLLLLLLLL,LLLL
        17,2015/04/29 19:05:38,  0,+25.1,+24.1,+24.6,+25.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.4958,LLLLLLLLLL,LLLL
        18,2015/04/29 19:06:08,  0,+25.1,+24.2,+24.6,+25.3,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.4611,LLLLLLLLLL,LLLL
        19,2015/04/29 19:06:38,  0,+25.0,+24.2,+24.6,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3732,LLLLLLLLLL,LLLL
        20,2015/04/29 19:07:08,  0,+24.9,+24.2,+24.6,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3413,LLLLLLLLLL,LLLL
        21,2015/04/29 19:07:38,  0,+24.8,+24.3,+24.7,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,-0.0002,+0.3138,LLLLLLLLLL,LLLL
        22,2015/04/29 19:08:08,  0,+24.8,+24.3,+24.8,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2864,LLLLLLLLLL,LLLL
        23,2015/04/29 19:08:38,  0,+24.8,+24.3,+24.8,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2643,LLLLLLLLLL,LLLL
        24,2015/04/29 19:09:08,  0,+24.9,+24.4,+24.9,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.2927,LLLLLLLLLL,LLLL
        25,2015/04/29 19:09:38,  0,+24.9,+24.4,+25.0,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3561,LLLLLLLLLL,LLLL
        26,2015/04/29 19:10:08,  0,+24.9,+24.5,+25.0,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.4330,LLLLLLLLLL,LLLL
        27,2015/04/29 19:10:38,  0,+24.9,+24.5,+25.1,+24.7,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.4865,LLLLLLLLLL,LLLL
        28,2015/04/29 19:11:08,  0,+25.0,+24.6,+25.2,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5177,LLLLLLLLLL,LLLL
        29,2015/04/29 19:11:38,  0,+25.0,+24.6,+25.3,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5297,LLLLLLLLLL,LLLL
        30,2015/04/29 19:12:08,  0,+25.0,+24.7,+25.3,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,-0.0002,+0.5314,LLLLLLLLLL,LLLL
        31,2015/04/29 19:12:38,  0,+25.0,+24.8,+25.4,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5295,LLLLLLLLLL,LLLL
        32,2015/04/29 19:13:08,  0,+25.1,+24.8,+25.5,+24.9,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5264,LLLLLLLLLL,LLLL
        33,2015/04/29 19:13:38,  0,+25.1,+24.8,+25.6,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5232,LLLLLLLLLL,LLLL
        34,2015/04/29 19:14:08,  0,+25.2,+24.9,+25.6,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5198,LLLLLLLLLL,LLLL
        35,2015/04/29 19:14:38,  0,+25.2,+24.9,+25.7,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.5167,LLLLLLLLLL,LLLL
        36,2015/04/29 19:15:08,  0,+25.2,+25.0,+25.6,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.5134,LLLLLLLLLL,LLLL
