ベンダ,"GRAPHTEC Corporation"
モデル,"GL220"
バージョン,"Ver1.06  "
測定間隔,30s
測定点数,2774      
開始時刻,2015-05-13,15:04:37
終了時刻,2015-05-14,14:11:19
トリガ時刻,2015-05-13,15:04:42
アンプ設定
CH,信号名,入力,レンジ,フィルタ,スパン
CH1," CH 1",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH2," CH 2",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH3," CH 3",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH4," CH 4",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH5," CH 5",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH6," CH 6",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH7," CH 7",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH8," CH 8",TEMP,TC_T,Off,+50.0,+0.0,[degC]
CH9," CH 9",DC,2V,Off,+1.0000,-1.0000,[ V]
CH10," CH10",DC,2V,Off,+1.0000,-1.0000,[ V]
Logic/Pulse,Off
測定値
番号,日付 時間,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1  -10 ,Alarm Out
NO.,Time, ms,"degC","degC","degC","degC","degC","degC","degC","degC","V","V","A12345678910","AO1234"
         1,2015/05/13 15:04:42,  0,+25.0,+24.8,+25.7,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3287,LLLLLLLLLL,LLLL
         2,2015/05/13 15:05:12,  0,+25.0,+24.6,+25.3,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0000,+0.3383,LLLLLLLLLL,LLLL
         3,2015/05/13 15:05:42,  0,+25.0,+24.6,+25.0,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3489,LLLLLLLLLL,LLLL
         4,2015/05/13 15:06:12,  0,+24.9,+24.5,+24.7,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3589,LLLLLLLLLL,LLLL
         5,2015/05/13 15:06:42,  0,+25.0,+24.5,+24.5,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0002,+0.3677,LLLLLLLLLL,LLLL
         6,2015/05/13 15:07:12,  0,+25.0,+24.5,+24.5,+25.2,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3682,LLLLLLLLLL,LLLL
         7,2015/05/13 15:07:42,  0,+25.0,+24.4,+24.5,+25.1,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3419,LLLLLLLLLL,LLLL
         8,2015/05/13 15:08:12,  0,+25.0,+24.4,+24.5,+25.0,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.3083,LLLLLLLLLL,LLLL
         9,2015/05/13 15:08:42,  0,+25.0,+24.3,+24.7,+24.8,BURN OUT,BURN OUT,BURN OUT,BURN OUT,+0.0001,+0.2795,LLLLLLLLLL,LLLL
